Score,Media Agencies,Check Frequency,Gender,Percentage
10,5,5,Male,83.33333333
10,2,4,Male,83.33333333
11,5,5,Male,91.66666667
8,3,4,Female,66.66666667
10,3,5,Female,83.33333333
9,4,1,Male,75
9,3,5,Male,75
9,3,4,Male,75
4,3,5,Male,33.33333333
5,5,2,Female,41.66666667
4,5,5,Male,33.33333333
10,5,5,Female,83.33333333
9,3,5,Male,75
8,1,3,Male,66.66666667
8,3,2,Female,66.66666667
5,1,3,Male,41.66666667
8,1,1,Female,66.66666667
6,5,5,Female,50
9,5,1,Male,75
10,4,1,Male,83.33333333
7,1,1,Male,58.33333333
7,3,1,Male,58.33333333
9,2,4,Female,75
8,5,5,Female,66.66666667
7,4,5,Female,58.33333333
9,3,2,Male,75
7,2,4,Female,58.33333333
10,5,5,Male,83.33333333
6,4,5,Female,50
9,5,1,Male,75
10,2,1,Male,83.33333333
7,4,5,Male,58.33333333
6,1,2,Female,50
11,1,2,Female,91.66666667
6,1,1,Female,50
7,1,1,Male,58.33333333
9,5,1,Male,75
7,1,1,Male,58.33333333
7,1,1,Male,58.33333333
7,1,1,Male,58.33333333
7,1,1,Male,58.33333333
7,1,1,Male,58.33333333
7,1,1,Male,58.33333333
7,1,1,Male,58.33333333
7,1,1,Male,58.33333333
7,1,1,Male,58.33333333
7,1,1,Male,58.33333333
7,1,1,Male,58.33333333
